REF_DATE_DT,RNFB_intp,CPI no adjusted,diesel_price,jet_price,LE Price,GF Price,ZW Price,DC Price,month_sin,month_cos,currency_rate,LE_lag_6M,LE_lag_8M,LE_lag_10M,LE_lag_12M,GF_lag_6M,GF_lag_8M,ZW_lag_6M,ZW_lag_8M,ZW_lag_10M,ZW_lag_12M,DC_lag_3M,DC_lag_4M,Diesel_Price_lag_1M,Diesel_Price_lag_2M,Jet_Price_lag_1M,Jet_Price_lag_2M,apparent_temperature,temperature_2m,WRSI,FDD,snowfall,WRSI_Anomaly,WRSI_state,apparent_temperature_lag_1m,apparent_temperature_lag_2m,apparent_temperature_lag_3m,temperature_2m_lag_1m,temperature_2m_lag_2m,temperature_2m_lag_3m,WRSI_lag_1m,WRSI_lag_2m,WRSI_lag_3m,FDD_lag_1m,FDD_lag_2m,FDD_lag_3m,snowfall_lag_1m,snowfall_lag_2m,snowfall_lag_3m,WRSI_Anomaly_lag_1m,WRSI_Anomaly_lag_2m,WRSI_Anomaly_lag_3m,WRSI_state_lag_1m,WRSI_state_lag_2m,WRSI_state_lag_3m,covid_flag,RNFB_w/out,CPI_lag_1m,CPI_change_rate,CPI_change_rate_lag_3m
201211,395.53,121.9,124.87142857142858,107.88,126.72,145.63,844.75,20.8,-0.5,0.866,1.007,117.1,120.45,125.275,121.6,156.8,148.82,643.75,660.75,658.5,595.75,18.89,17.880000000000003,127.35714285714286,127.29285714285712,110.78,110.5,-16.985277777777778,-10.771527777777775,0.925824478314914,145.05930555555554,0.0501666666666666,-4.999059606481487,0,-9.006720430107526,-1.13,4.819086021505377,-3.668548387096774,3.5825,8.229435483870969,1.070717822589327,1.069827209845463,1.0701847169667764,3478.378494623656,3432.116666666667,3432.116666666667,0.0397983870967742,0.0103055555555555,0.0,229.7870463709678,224.01233506944456,225.08463541666697,2.0,2.0,2.0,0,397.74,122.2,-0.002454991816693952,0.0024691358024691024
201212,397.74,121.2,125.92857142857144,111.0,129.9,151.4,778.0,18.6,-0.0,1.0,1.0056,116.55,118.775,127.65,122.9,151.45,152.81,739.0,652.25,664.25,652.75,18.98,18.89,124.87142857142858,127.35714285714286,107.88,110.78,-23.178091397849464,-17.515591397849462,1.048961492590331,608.1547043010753,0.0087499999999999,26.950537634408605,1,-16.985277777777778,-9.006720430107526,-1.13,-10.771527777777775,-3.668548387096774,3.5825,0.925824478314914,1.070717822589327,1.069827209845463,145.05930555555554,3478.378494623656,3432.116666666667,0.0501666666666666,0.0397983870967742,0.0103055555555555,-4.999059606481487,229.7870463709678,224.01233506944456,0.0,2.0,2.0,0,397.74,121.9,-0.005742411812961423,0.0016420361247948545
201301,399.01,121.3,129.44117647058823,113.22,127.63,146.3,779.5,17.2,0.5,0.866,0.9978,117.31,117.1,120.45,125.275,148.02499999999998,156.8,804.5,643.75,660.75,658.5,21.06,18.98,125.92857142857144,124.87142857142858,111.0,107.88,-30.638844086021507,-24.460483870967742,1.0918023592163666,1275.3845430107526,0.0096908602150537,111.01736839157704,2,-23.178091397849464,-16.985277777777778,-9.006720430107526,-17.515591397849462,-10.771527777777775,-3.668548387096774,1.048961492590331,0.925824478314914,1.070717822589327,608.1547043010753,145.05930555555554,3478.378494623656,0.0087499999999999,0.0501666666666666,0.0397983870967742,26.950537634408605,-4.999059606481487,229.7870463709678,1.0,0.0,2.0,0,401.55,121.2,0.0008250825082507518,0.0016393442622950616
201302,400.28,122.7,135.16470588235296,119.96,128.0,142.0,707.75,16.98,0.866,0.5,0.9771,118.07,116.55,118.775,127.65,144.6,151.45,870.0,739.0,652.25,664.25,20.8,21.06,129.44117647058823,125.92857142857144,113.22,111.0,-27.83764880952381,-22.02113095238096,1.059694563851868,1946.0175595238093,0.02375,106.05717075892858,2,-30.638844086021507,-23.178091397849464,-16.985277777777778,-24.460483870967742,-17.515591397849462,-10.771527777777775,1.0918023592163666,1.048961492590331,0.925824478314914,1275.3845430107526,608.1547043010753,145.05930555555554,0.0096908602150537,0.0087499999999999,0.0501666666666666,111.01736839157704,26.950537634408605,-4.999059606481487,2.0,1.0,0.0,0,401.55,121.3,0.01154163231657046,-0.002454991816693952
201303,401.55,122.9,134.2470588235294,115.2,128.9,135.27,687.75,16.97,1.0,0.0,0.9829,122.07,117.31,117.1,120.45,143.8,148.02499999999998,902.5,804.5,643.75,660.75,18.6,20.8,135.16470588235296,129.44117647058823,119.96,113.22,-20.111155913978493,-14.391801075268816,0.9937774981768543,2492.3088709677418,0.0351881720430107,-19.39393481182792,2,-27.83764880952381,-30.638844086021507,-23.178091397849464,-22.02113095238096,-24.460483870967742,-17.515591397849462,1.059694563851868,1.0918023592163666,1.048961492590331,1946.0175595238093,1275.3845430107526,608.1547043010753,0.02375,0.0096908602150537,0.0087499999999999,106.05717075892858,111.01736839157704,26.950537634408605,2.0,2.0,1.0,0,401.55,122.7,0.0016299918500408683,-0.005742411812961423
201304,398.89,122.7,130.46470588235294,108.34,128.4,139.55,721.75,17.6,0.866,-0.5,0.9884,126.75,118.07,116.55,118.775,146.3,144.6,864.5,870.0,739.0,652.25,17.2,18.6,134.2470588235294,135.16470588235296,115.2,119.96,-14.662083333333332,-9.218055555555557,0.9504868479863506,2820.5829166666667,0.0422916666666666,-146.77619791666666,2,-20.111155913978493,-27.83764880952381,-30.638844086021507,-14.391801075268816,-22.02113095238096,-24.460483870967742,0.9937774981768543,1.059694563851868,1.0918023592163666,2492.3088709677418,1946.0175595238093,1275.3845430107526,0.0351881720430107,0.02375,0.0096908602150537,-19.39393481182792,106.05717075892858,111.01736839157704,2.0,2.0,2.0,0,393.57,122.9,-0.0016273393002441683,0.0008250825082507518
201305,396.23,123.0,126.62352941176472,106.74,121.3,144.32,705.5,18.51,0.5,-0.866,0.9707,126.72,122.07,117.31,117.1,145.63,143.8,844.75,902.5,804.5,643.75,16.98,17.2,130.46470588235294,134.2470588235294,108.34,115.2,-11.354032258064516,-6.263440860215053,0.9744641179172548,3087.625806451613,0.0345295698924731,-80.60470430107523,2,-14.662083333333332,-20.111155913978493,-27.83764880952381,-9.218055555555557,-14.391801075268816,-22.02113095238096,0.9504868479863506,0.9937774981768543,1.059694563851868,2820.5829166666667,2492.3088709677418,1946.0175595238093,0.0422916666666666,0.0351881720430107,0.02375,-146.77619791666666,-19.39393481182792,106.05717075892858,2.0,2.0,2.0,0,393.57,122.7,0.0024449877750611915,0.01154163231657046
201306,393.57,123.0,127.05882352941175,107.5,118.15,149.45,648.5,18.04,0.0,-1.0,0.9504,129.9,126.75,118.07,116.55,151.4,146.3,778.0,864.5,870.0,739.0,16.97,16.98,126.62352941176472,130.46470588235294,106.74,108.34,-1.0520833333333337,3.2359722222222222,0.9863146405662888,3163.077361111112,0.0110833333333333,-43.88847222222213,2,-11.354032258064516,-14.662083333333332,-20.111155913978493,-6.263440860215053,-9.218055555555557,-14.391801075268816,0.9744641179172548,0.9504868479863506,0.9937774981768543,3087.625806451613,2820.5829166666667,2492.3088709677418,0.0345295698924731,0.0422916666666666,0.0351881720430107,-80.60470430107523,-146.77619791666666,-19.39393481182792,2.0,2.0,2.0,0,393.57,123.0,0.0,0.0016299918500408683
201307,392.73,123.1,127.82941176470588,110.18,121.45,153.43,664.25,17.38,-0.5,-0.866,0.9708,127.63,126.72,122.07,117.31,146.3,145.63,779.5,844.75,902.5,804.5,17.6,16.97,127.05882352941175,126.62352941176472,107.5,106.74,3.742204301075269,7.521774193548388,0.986319532362274,3163.1583333333333,0.0049865591397849,-43.87369791666652,2,-1.0520833333333337,-11.354032258064516,-14.662083333333332,3.2359722222222222,-6.263440860215053,-9.218055555555557,0.9863146405662888,0.9744641179172548,0.9504868479863506,3163.077361111112,3087.625806451613,2820.5829166666667,0.0110833333333333,0.0345295698924731,0.0422916666666666,-43.88847222222213,-80.60470430107523,-146.77619791666666,2.0,2.0,2.0,0,391.05,123.0,0.0008130081300812275,-0.0016273393002441683
201308,391.89,123.1,129.35294117647058,111.8,122.7,156.93,643.25,17.89,-0.866,-0.5,0.9486,128.0,129.9,126.75,118.07,142.0,151.4,707.75,778.0,864.5,870.0,18.51,17.6,127.82941176470588,127.05882352941175,110.18,107.5,3.67983870967742,7.77997311827957,0.986319532362274,3163.1583333333333,0.0026344086021505,-43.87369791666652,2,3.742204301075269,-1.0520833333333337,-11.354032258064516,7.521774193548388,3.2359722222222222,-6.263440860215053,0.986319532362274,0.9863146405662888,0.9744641179172548,3163.1583333333333,3163.077361111112,3087.625806451613,0.0049865591397849,0.0110833333333333,0.0345295698924731,-43.87369791666652,-43.88847222222213,-80.60470430107523,2.0,2.0,2.0,0,391.05,123.1,0.0,0.0024449877750611915
201309,391.05,123.3,132.18823529411765,113.84,128.6,161.125,655.375,18.34,-1.0,-0.0,0.9697,128.9,127.63,126.72,122.07,135.27,146.3,687.75,779.5,844.75,902.5,18.04,18.51,129.35294117647058,127.82941176470588,111.8,110.18,-3.4143055555555555,1.4629166666666669,0.987884753311814,3169.23875,0.0127361111111111,-38.865581597222175,2,3.67983870967742,3.742204301075269,-1.0520833333333337,7.77997311827957,7.521774193548388,3.2359722222222222,0.986319532362274,0.986319532362274,0.9863146405662888,3163.1583333333333,3163.1583333333333,3163.077361111112,0.0026344086021505,0.0049865591397849,0.0110833333333333,-43.87369791666652,-43.87369791666652,-43.88847222222213,2.0,2.0,2.0,0,391.05,123.1,0.0016246953696181787,0.0
201310,394.0966666666667,123.0,131.84117647058824,115.4,134.5,165.32,667.5,18.79,-0.866,0.5,0.9544,128.4,128.0,129.9,126.75,139.55,142.0,721.75,707.75,778.0,864.5,17.38,18.04,132.18823529411765,129.35294117647058,113.84,111.8,-7.912096774193548,-2.914112903225807,0.9881235551384482,3209.9739247311827,0.0533467741935483,-38.61752352150534,2,-3.4143055555555555,3.67983870967742,3.742204301075269,1.4629166666666669,7.77997311827957,7.521774193548388,0.987884753311814,0.986319532362274,0.986319532362274,3169.23875,3163.1583333333333,3163.1583333333333,0.0127361111111111,0.0026344086021505,0.0049865591397849,-38.865581597222175,-43.87369791666652,-43.87369791666652,2.0,2.0,2.0,0,400.19,123.3,-0.0024330900243308973,0.0008130081300812275
